idno,VideoName,Focus_response,Self_response,Other_response,Knowledge_response,Absorption_response,Words_response,Past_response,Deliberate_response,Sounds_response,Future_response,Problem_response,Distracting_response,Images_response,Emotion_response,Intrusive_response,Detailed_response,ProbeVersion,ProbeNumber,Run_time,correct_per_run,correct_overall,watched_before
subject_210,12 years_6m.mp4,1.7,8,3,4,10,7,10,9,10,6.8,8,7.6,10,6,4,1.4,3,3,320,4,12,2
subject_210,back to the future_6m.mp4,7,2.5,1.1,5.4,7,1.1,7.5,9.2,9.1,7.6,10,10,3.6,4.5,10,6.7,8,1,110,3,12,2
subject_210,back to the future_6m.mp4,9.7,1.5,2.5,8.3,10,1.1,5.9,9.9,6.6,2.1,5.8,10,4.1,6.4,1,3.3,8,2,180,3,12,2
subject_210,back to the future_6m.mp4,1.8,2.2,5.4,6,8.4,1,3.3,9,8,4.6,5,1.7,1,2.1,1.7,4.2,8,3,260,3,12,2
subject_210,shawshank clip_6m.mp4,5.8,3.2,10,1,1,8,1.1,10,3.2,4.1,2.1,4.1,3.5,8.1,5.8,2,6,1,90,0,12,2
subject_210,shawshank clip_6m.mp4,8,2.7,10,8.7,9,3,10,5.1,6.3,2,9.2,3.8,5.2,2,2.2,5,6,2,160,0,12,2
subject_210,shawshank clip_6m.mp4,8.9,9,10,4.4,6,5.5,1,4,3.9,7.5,10,4,5.2,7.6,2,1.8,6,3,240,0,12,2
subject_211,pulp_fiction_6m.mp4,3,10,10,2.2,2.9,2.4,1,3,3,10,1,1,9.1,9.2,2.2,1,2,1,70,4,14,2
subject_211,pulp_fiction_6m.mp4,10,1,10,2,10,1,1,8,10,1,1,7,10,6.4,9,10,2,2,170,4,14,2
subject_211,pulp_fiction_6m.mp4,10,1,10,10,10,1,10,10,10,1,1,1,10,2,1,9.1,2,3,250,4,14,2
subject_211,the_prestige_6m.mp4,10,1,10,1,10,10,1,10,10,1,1,1,10,2.5,10,10,1,1,60,2,14,2
subject_211,the_prestige_6m.mp4,10,1,10,1,10,1,1,10,10,1,1,1,10,1.1,10,10,1,2,200,2,14,2
subject_211,the_prestige_6m.mp4,10,1,10,1,10,10,1,9.6,8.5,1,1.6,1.6,10,9.8,10,10,1,3,290,2,14,2
subject_211,shawshank clip_6m.mp4,9.8,1,10,1,5.9,1.7,3,3.1,2.3,8.7,10,1,9.7,10,5.4,9.1,3,1,100,3,14,2
subject_211,shawshank clip_6m.mp4,9.4,1,1.3,10,9.6,10,8,2.1,8.8,1,2,2.2,9,8.3,1.4,2.2,3,2,230,3,14,2
subject_211,shawshank clip_6m.mp4,10,1,8.8,1,10,3.5,1,1.1,2.5,1,8,1,1.3,9,2.2,1.3,3,3,320,3,14,2
subject_211,back to the future_6m.mp4,10,1.2,9.8,1,10,2,1,1,8.8,1,1,1.2,8.6,1,1.9,1,6,1,90,2,14,2
subject_211,back to the future_6m.mp4,10,1,9.1,1,2,10,1,1.3,10,1.6,3,9,9,10,1,1.1,6,2,160,2,14,2
subject_211,back to the future_6m.mp4,1.5,1.4,10,9.1,10,1,1,1,5,10,3.1,9.3,1,10,1,9,6,3,240,2,14,2
